Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"FBS","Food Balances (2010-)","208","Denmark","664","Food supply (kcal/capita/day)","S2960","Fish, Seafood","2020","2020","kcal/capita/day","75","E","Estimated value"
"FBS","Food Balances (2010-)","233","Estonia","664","Food supply (kcal/capita/day)","S2905","Cereals - Excluding Beer","2016","2016","kcal/capita/day","766","E","Estimated value"
"FBS","Food Balances (2010-)","233","Estonia","664","Food supply (kcal/capita/day)","S2905","Cereals - Excluding Beer","2017","2017","kcal/capita/day","781","E","Estimated value"
"FBS","Food Balances (2010-)","233","Estonia","664","Food supply (kcal/capita/day)","S2905","Cereals - Excluding Beer","2018","2018","kcal/capita/day","785","E","Estimated value"
"FBS","Food Balances (2010-)","233","Estonia","664","Food supply (kcal/capita/day)","S2905","Cereals - Excluding Beer","2019","2019","kcal/capita/day","626","E","Estimated value"
"FBS","Food Balances (2010-)","233","Estonia","664","Food supply (kcal/capita/day)","S2905","Cereals - Excluding Beer","2020","2020","kcal/capita/day","591","E","Estimated value"
"FBS","Food Balances (2010-)","233","Estonia","664","Food supply (kcal/capita/day)","S2909","Sugar & Sweeteners","2016","2016","kcal/capita/day","241","E","Estimated value"
"FBS","Food Balances (2010-)","233","Estonia","664","Food supply (kcal/capita/day)","S2909","Sugar & Sweeteners","2017","2017","kcal/capita/day","242","E","Estimated value"
"FBS","Food Balances (2010-)","233","Estonia","664","Food supply (kcal/capita/day)","S2909","Sugar & Sweeteners","2018","2018","kcal/capita/day","269","E","Estimated value"
"FBS","Food Balances (2010-)","233","Estonia","664","Food supply (kcal/capita/day)","S2909","Sugar & Sweeteners","2019","2019","kcal/capita/day","290","E","Estimated value"
"FBS","Food Balances (2010-)","233","Estonia","664","Food supply (kcal/capita/day)","S2909","Sugar & Sweeteners","2020","2020","kcal/capita/day","317","E","Estimated value"
"FBS","Food Balances (2010-)","233","Estonia","664","Food supply (kcal/capita/day)","S2918","Vegetables","2016","2016","kcal/capita/day","78","E","Estimated value"
"FBS","Food Balances (2010-)","233","Estonia","664","Food supply (kcal/capita/day)","S2918","Vegetables","2017","2017","kcal/capita/day","80","E","Estimated value"
"FBS","Food Balances (2010-)","233","Estonia","664","Food supply (kcal/capita/day)","S2918","Vegetables","2018","2018","kcal/capita/day","83","E","Estimated value"
"FBS","Food Balances (2010-)","233","Estonia","664","Food supply (kcal/capita/day)","S2918","Vegetables","2019","2019","kcal/capita/day","71","E","Estimated value"
"FBS","Food Balances (2010-)","233","Estonia","664","Food supply (kcal/capita/day)","S2918","Vegetables","2020","2020","kcal/capita/day","70","E","Estimated value"
"FBS","Food Balances (2010-)","233","Estonia","664","Food supply (kcal/capita/day)","S2919","Fruits - Excluding Wine","2016","2016","kcal/capita/day","109","E","Estimated value"
"FBS","Food Balances (2010-)","233","Estonia","664","Food supply (kcal/capita/day)","S2919","Fruits - Excluding Wine","2017","2017","kcal/capita/day","115","E","Estimated value"
"FBS","Food Balances (2010-)","233","Estonia","664","Food supply (kcal/capita/day)","S2919","Fruits - Excluding Wine","2018","2018","kcal/capita/day","108","E","Estimated value"
"FBS","Food Balances (2010-)","233","Estonia","664","Food supply (kcal/capita/day)","S2919","Fruits - Excluding Wine","2019","2019","kcal/capita/day","101","E","Estimated value"
"FBS","Food Balances (2010-)","233","Estonia","664","Food supply (kcal/capita/day)","S2919","Fruits - Excluding Wine","2020","2020","kcal/capita/day","102","E","Estimated value"
"FBS","Food Balances (2010-)","233","Estonia","664","Food supply (kcal/capita/day)","S2924","Alcoholic Beverages","2016","2016","kcal/capita/day","340","E","Estimated value"
"FBS","Food Balances (2010-)","233","Estonia","664","Food supply (kcal/capita/day)","S2924","Alcoholic Beverages","2017","2017","kcal/capita/day","321","E","Estimated value"
"FBS","Food Balances (2010-)","233","Estonia","664","Food supply (kcal/capita/day)","S2924","Alcoholic Beverages","2018","2018","kcal/capita/day","269","E","Estimated value"
"FBS","Food Balances (2010-)","233","Estonia","664","Food supply (kcal/capita/day)","S2924","Alcoholic Beverages","2019","2019","kcal/capita/day","267","E","Estimated value"
"FBS","Food Balances (2010-)","233","Estonia","664","Food supply (kcal/capita/day)","S2924","Alcoholic Beverages","2020","2020","kcal/capita/day","293","E","Estimated value"
"FBS","Food Balances (2010-)","233","Estonia","664","Food supply (kcal/capita/day)","S2943","Meat","2016","2016","kcal/capita/day","300","E","Estimated value"
"FBS","Food Balances (2010-)","233","Estonia","664","Food supply (kcal/capita/day)","S2943","Meat","2017","2017","kcal/capita/day","281","E","Estimated value"
"FBS","Food Balances (2010-)","233","Estonia","664","Food supply (kcal/capita/day)","S2943","Meat","2018","2018","kcal/capita/day","318","E","Estimated value"
"FBS","Food Balances (2010-)","233","Estonia","664","Food supply (kcal/capita/day)","S2943","Meat","2019","2019","kcal/capita/day","314","E","Estimated value"
"FBS","Food Balances (2010-)","233","Estonia","664","Food supply (kcal/capita/day)","S2943","Meat","2020","2020","kcal/capita/day","317","E","Estimated value"
"FBS","Food Balances (2010-)","233","Estonia","664","Food supply (kcal/capita/day)","S2949","Eggs","2016","2016","kcal/capita/day","49","E","Estimated value"
"FBS","Food Balances (2010-)","233","Estonia","664","Food supply (kcal/capita/day)","S2949","Eggs","2017","2017","kcal/capita/day","47","E","Estimated value"
"FBS","Food Balances (2010-)","233","Estonia","664","Food supply (kcal/capita/day)","S2949","Eggs","2018","2018","kcal/capita/day","48","E","Estimated value"
"FBS","Food Balances (2010-)","233","Estonia","664","Food supply (kcal/capita/day)","S2949","Eggs","2019","2019","kcal/capita/day","49","E","Estimated value"
"FBS","Food Balances (2010-)","233","Estonia","664","Food supply (kcal/capita/day)","S2949","Eggs","2020","2020","kcal/capita/day","47","E","Estimated value"
"FBS","Food Balances (2010-)","233","Estonia","664","Food supply (kcal/capita/day)","S2948","Milk - Excluding Butter","2016","2016","kcal/capita/day","560","E","Estimated value"
"FBS","Food Balances (2010-)","233","Estonia","664","Food supply (kcal/capita/day)","S2948","Milk - Excluding Butter","2017","2017","kcal/capita/day","551","E","Estimated value"
"FBS","Food Balances (2010-)","233","Estonia","664","Food supply (kcal/capita/day)","S2948","Milk - Excluding Butter","2018","2018","kcal/capita/day","536","E","Estimated value"
"FBS","Food Balances (2010-)","233","Estonia","664","Food supply (kcal/capita/day)","S2948","Milk - Excluding Butter","2019","2019","kcal/capita/day","579","E","Estimated value"
"FBS","Food Balances (2010-)","233","Estonia","664","Food supply (kcal/capita/day)","S2948","Milk - Excluding Butter","2020","2020","kcal/capita/day","572","E","Estimated value"
"FBS","Food Balances (2010-)","233","Estonia","664","Food supply (kcal/capita/day)","S2960","Fish, Seafood","2016","2016","kcal/capita/day","20","E","Estimated value"
"FBS","Food Balances (2010-)","233","Estonia","664","Food supply (kcal/capita/day)","S2960","Fish, Seafood","2017","2017","kcal/capita/day","22","E","Estimated value"
"FBS","Food Balances (2010-)","233","Estonia","664","Food supply (kcal/capita/day)","S2960","Fish, Seafood","2018","2018","kcal/capita/day","22","E","Estimated value"
"FBS","Food Balances (2010-)","233","Estonia","664","Food supply (kcal/capita/day)","S2960","Fish, Seafood","2019","2019","kcal/capita/day","22","E","Estimated value"
"FBS","Food Balances (2010-)","233","Estonia","664","Food supply (kcal/capita/day)","S2960","Fish, Seafood","2020","2020","kcal/capita/day","22","E","Estimated value"
"FBS","Food Balances (2010-)","246","Finland","664","Food supply (kcal/capita/day)","S2905","Cereals - Excluding Beer","2016","2016","kcal/capita/day","958","E","Estimated value"
"FBS","Food Balances (2010-)","246","Finland","664","Food supply (kcal/capita/day)","S2905","Cereals - Excluding Beer","2017","2017","kcal/capita/day","968","E","Estimated value"
"FBS","Food Balances (2010-)","246","Finland","664","Food supply (kcal/capita/day)","S2905","Cereals - Excluding Beer","2018","2018","kcal/capita/day","962","E","Estimated value"
"FBS","Food Balances (2010-)","246","Finland","664","Food supply (kcal/capita/day)","S2905","Cereals - Excluding Beer","2019","2019","kcal/capita/day","972","E","Estimated value"
"FBS","Food Balances (2010-)","246","Finland","664","Food supply (kcal/capita/day)","S2905","Cereals - Excluding Beer","2020","2020","kcal/capita/day","894","E","Estimated value"
"FBS","Food Balances (2010-)","246","Finland","664","Food supply (kcal/capita/day)","S2909","Sugar & Sweeteners","2016","2016","kcal/capita/day","300","E","Estimated value"
"FBS","Food Balances (2010-)","246","Finland","664","Food supply (kcal/capita/day)","S2909","Sugar & Sweeteners","2017","2017","kcal/capita/day","302","E","Estimated value"
"FBS","Food Balances (2010-)","246","Finland","664","Food supply (kcal/capita/day)","S2909","Sugar & Sweeteners","2018","2018","kcal/capita/day","311","E","Estimated value"
"FBS","Food Balances (2010-)","246","Finland","664","Food supply (kcal/capita/day)","S2909","Sugar & Sweeteners","2019","2019","kcal/capita/day","345","E","Estimated value"
